layer,head,program_idx,iou_score
0,0,42,0.696
0,1,42,0.415
0,2,44,0.296
0,3,44,0.262
0,4,42,0.639
0,5,42,0.455
0,6,42,0.57
0,7,42,0.474
0,8,42,0.447
0,9,49,0.504
0,10,40,0.456
0,11,49,0.372
1,0,49,0.443
1,1,40,0.402
1,2,49,0.426
1,3,49,0.395
1,4,44,0.472
1,5,49,0.399
1,6,55,0.767
1,7,1,0.423
1,8,49,0.522
1,9,49,0.574
1,10,62,0.316
1,11,49,0.39
2,0,40,0.994
2,1,59,0.339
2,2,59,0.504
2,3,49,0.505
2,4,49,0.389
2,5,49,0.47
2,6,37,0.389
2,7,49,0.437
2,8,49,0.379
2,9,40,0.985
2,10,49,0.381
2,11,1,0.4
3,0,49,0.292
3,1,49,0.496
3,2,49,0.361
3,3,49,0.274
3,4,49,0.446
3,5,44,0.571
3,6,49,0.465
3,7,49,0.507
3,8,49,0.424
3,9,40,0.312
3,10,49,0.355
3,11,62,0.263
4,0,15,0.427
4,1,42,0.445
4,2,15,0.47
4,3,15,0.674
4,4,15,0.391
4,5,15,0.29
4,6,15,0.301
4,7,15,0.474
4,8,15,0.411
4,9,49,0.408
4,10,15,0.301
4,11,11,0.421
5,0,15,0.384
5,1,15,0.72
5,2,15,0.479
5,3,15,0.395
5,4,49,0.377
5,5,15,0.583
5,6,15,0.607
5,7,15,0.468
5,8,57,0.419
5,9,40,0.436
5,10,11,0.268
5,11,15,0.517
6,0,15,0.541
6,1,15,0.51
6,2,15,0.377
6,3,15,0.586
6,4,15,0.471
6,5,57,0.328
6,6,15,0.407
6,7,49,0.373
6,8,15,0.385
6,9,15,0.243
6,10,15,0.435
6,11,44,0.39
7,0,49,0.26
7,1,15,0.423
7,2,15,0.388
7,3,15,0.613
7,4,44,0.321
7,5,15,0.361
7,6,15,0.691
7,7,15,0.663
7,8,46,0.347
7,9,15,0.377
7,10,15,0.356
7,11,15,0.617
8,0,15,0.53
8,1,15,0.369
8,2,15,0.771
8,3,15,0.388
8,4,15,0.568
8,5,15,0.617
8,6,15,0.69
8,7,49,0.346
8,8,49,0.384
8,9,49,0.291
8,10,15,0.501
8,11,15,0.306
9,0,15,0.379
9,1,15,0.406
9,2,49,0.31
9,3,15,0.473
9,4,15,0.542
9,5,49,0.311
9,6,15,0.504
9,7,15,0.549
9,8,49,0.351
9,9,15,0.588
9,10,49,0.353
9,11,49,0.36
10,0,49,0.331
10,1,35,0.307
10,2,46,0.254
10,3,35,0.318
10,4,35,0.277
10,5,35,0.311
10,6,35,0.25
10,7,46,0.287
10,8,46,0.225
10,9,35,0.286
10,10,49,0.282
10,11,46,0.251
11,0,46,0.277
11,1,46,0.258
11,2,42,0.372
11,3,46,0.26
11,4,46,0.262
11,5,46,0.23
11,6,46,0.265
11,7,46,0.266
11,8,42,0.286
11,9,42,0.376
11,10,46,0.258
11,11,46,0.269
