layer,head,program_idx,iou_score
0,0,70,0.555
0,1,37,0.853
0,2,70,0.589
0,3,48,0.703
0,4,37,0.384
0,5,37,0.71
0,6,70,0.495
0,7,70,0.44
0,8,70,0.513
0,9,70,0.74
0,10,70,0.655
0,11,70,0.698
1,0,70,0.426
1,1,70,0.446
1,2,70,0.607
1,3,33,0.475
1,4,70,0.558
1,5,70,0.471
1,6,70,0.495
1,7,70,0.575
1,8,70,0.576
1,9,70,0.444
1,10,70,0.63
1,11,37,0.567
2,0,70,0.434
2,1,68,0.56
2,2,44,0.495
2,3,70,0.375
2,4,70,0.326
2,5,70,0.357
2,6,33,0.426
2,7,70,0.606
2,8,70,0.384
2,9,70,0.372
2,10,70,0.56
2,11,68,0.596
3,0,55,0.89
3,1,33,0.433
3,2,70,0.326
3,3,33,0.466
3,4,55,0.827
3,5,68,0.457
3,6,70,0.39
3,7,44,0.319
3,8,70,0.299
3,9,33,0.365
3,10,33,0.625
3,11,70,0.378
4,0,33,0.405
4,1,33,0.35
4,2,68,0.675
4,3,33,0.35
4,4,68,0.688
4,5,68,0.484
4,6,68,0.463
4,7,17,0.494
4,8,68,0.673
4,9,62,0.386
4,10,68,0.773
4,11,44,0.956
5,0,55,0.789
5,1,2,0.988
5,2,68,0.395
5,3,70,0.426
5,4,68,0.424
5,5,55,0.857
5,6,68,0.657
5,7,68,0.589
5,8,68,0.659
5,9,55,0.803
5,10,68,0.538
5,11,33,0.665
6,0,62,0.384
6,1,68,0.615
6,2,68,0.71
6,3,68,0.654
6,4,33,0.577
6,5,68,0.573
6,6,68,0.753
6,7,68,0.456
6,8,68,0.426
6,9,23,0.964
6,10,55,0.855
6,11,68,0.432
7,0,68,0.505
7,1,55,0.773
7,2,23,0.976
7,3,68,0.567
7,4,55,0.636
7,5,68,0.544
7,6,68,0.714
7,7,55,0.805
7,8,68,0.477
7,9,68,0.576
7,10,55,0.948
7,11,55,0.867
8,0,68,0.711
8,1,55,0.887
8,2,68,0.516
8,3,68,0.739
8,4,68,0.55
8,5,68,0.419
8,6,55,0.697
8,7,68,0.488
8,8,68,0.508
8,9,68,0.667
8,10,68,0.607
8,11,55,0.765
9,0,68,0.678
9,1,55,0.859
9,2,68,0.667
9,3,33,0.463
9,4,55,0.866
9,5,68,0.762
9,6,55,0.932
9,7,68,0.653
9,8,55,0.736
9,9,55,0.953
9,10,68,0.545
9,11,55,0.912
10,0,55,0.802
10,1,55,0.918
10,2,55,0.853
10,3,55,0.75
10,4,68,0.559
10,5,55,0.657
10,6,55,0.876
10,7,68,0.667
10,8,55,0.92
10,9,68,0.565
10,10,55,0.919
10,11,68,0.684
11,0,70,0.62
11,1,68,0.735
11,2,55,0.856
11,3,68,0.55
11,4,68,0.664
11,5,55,0.833
11,6,55,0.909
11,7,68,0.723
11,8,70,0.434
11,9,55,0.858
11,10,33,0.565
11,11,33,0.508
