layer,head,program_idx,iou_score
0,0,9,0.774
0,1,62,0.777
0,2,62,0.792
0,3,62,0.796
0,4,62,0.804
0,5,62,0.806
0,6,62,0.779
0,7,62,0.804
0,8,62,0.735
0,9,62,0.784
0,10,62,0.719
0,11,9,0.708
0,12,62,0.738
0,13,62,0.723
0,14,62,0.756
0,15,62,0.805
0,16,9,0.525
0,17,9,0.517
0,18,9,0.598
0,19,62,0.565
0,20,9,0.355
0,21,9,0.546
0,22,9,0.379
0,23,9,0.327
0,24,62,0.705
0,25,62,0.67
0,26,9,0.543
0,27,62,0.72
0,28,62,0.696
0,29,62,0.693
0,30,9,0.492
0,31,62,0.702
1,0,62,0.424
1,1,62,0.398
1,2,9,0.386
1,3,9,0.401
1,4,62,0.438
1,5,62,0.523
1,6,62,0.39
1,7,62,0.416
1,8,9,0.526
1,9,9,0.318
1,10,9,0.45
1,11,62,0.594
1,12,9,0.466
1,13,9,0.514
1,14,9,0.554
1,15,9,0.476
1,16,9,0.254
1,17,9,0.25
1,18,9,0.248
1,19,44,0.276
1,20,9,0.27
1,21,9,0.251
1,22,9,0.269
1,23,9,0.253
1,24,9,0.419
1,25,62,0.422
1,26,9,0.369
1,27,62,0.399
1,28,9,0.33
1,29,9,0.381
1,30,44,0.544
1,31,62,0.574
2,0,9,0.536
2,1,9,0.324
2,2,9,0.461
2,3,9,0.391
2,4,62,0.561
2,5,9,0.528
2,6,9,0.494
2,7,9,0.48
2,8,62,0.476
2,9,62,0.455
2,10,62,0.46
2,11,62,0.479
2,12,9,0.435
2,13,9,0.423
2,14,62,0.525
2,15,62,0.46
2,16,9,0.381
2,17,9,0.367
2,18,9,0.294
2,19,62,0.342
2,20,62,0.358
2,21,62,0.289
2,22,9,0.304
2,23,9,0.372
2,24,62,0.323
2,25,62,0.327
2,26,9,0.309
2,27,9,0.356
2,28,9,0.314
2,29,9,0.316
2,30,9,0.288
2,31,9,0.323
3,0,55,0.956
3,1,55,0.943
3,2,55,0.909
3,3,55,0.804
3,4,55,0.963
3,5,55,0.923
3,6,55,0.926
3,7,55,0.948
3,8,55,0.764
3,9,55,0.791
3,10,55,0.751
3,11,55,0.811
3,12,55,0.814
3,13,55,0.743
3,14,55,0.753
3,15,33,0.68
3,16,55,0.913
3,17,55,0.771
3,18,55,0.804
3,19,55,0.831
3,20,55,0.792
3,21,55,0.745
3,22,55,0.839
3,23,33,0.61
3,24,33,0.622
3,25,33,0.703
3,26,55,0.751
3,27,55,0.763
3,28,33,0.521
3,29,55,0.791
3,30,55,0.756
3,31,55,0.736
4,0,55,0.813
4,1,55,0.759
4,2,55,0.734
4,3,55,0.822
4,4,55,0.925
4,5,55,0.864
4,6,55,0.786
4,7,55,0.788
4,8,55,0.955
4,9,55,0.89
4,10,55,0.769
4,11,55,0.854
4,12,55,0.911
4,13,55,0.844
4,14,55,0.802
4,15,55,0.799
4,16,55,0.84
4,17,55,0.931
4,18,55,0.837
4,19,55,0.825
4,20,55,0.862
4,21,55,0.708
4,22,33,0.631
4,23,55,0.88
4,24,55,0.846
4,25,55,0.922
4,26,55,0.796
4,27,55,0.872
4,28,55,0.932
4,29,55,0.867
4,30,55,0.859
4,31,55,0.927
5,0,55,0.666
5,1,55,0.663
5,2,55,0.666
5,3,33,0.554
5,4,55,0.791
5,5,55,0.721
5,6,33,0.758
5,7,55,0.766
5,8,55,0.859
5,9,55,0.896
5,10,55,0.834
5,11,55,0.848
5,12,55,0.7
5,13,55,0.941
5,14,55,0.915
5,15,55,0.918
5,16,55,0.93
5,17,55,0.86
5,18,55,0.833
5,19,55,0.807
5,20,55,0.925
5,21,55,0.802
5,22,55,0.894
5,23,55,0.809
5,24,55,0.701
5,25,55,0.87
5,26,55,0.819
5,27,55,0.754
5,28,55,0.857
5,29,55,0.863
5,30,55,0.646
5,31,55,0.802
6,0,55,0.869
6,1,33,0.59
6,2,55,0.733
6,3,55,0.875
6,4,33,0.651
6,5,55,0.574
6,6,33,0.714
6,7,55,0.799
6,8,55,0.667
6,9,55,0.803
6,10,55,0.819
6,11,55,0.914
6,12,55,0.718
6,13,55,0.862
6,14,33,0.588
6,15,55,0.913
6,16,55,0.816
6,17,55,0.875
6,18,55,0.764
6,19,33,0.635
6,20,33,0.816
6,21,55,0.738
6,22,55,0.819
6,23,55,0.717
6,24,55,0.818
6,25,23,0.964
6,26,33,0.597
6,27,55,0.674
6,28,55,0.613
6,29,55,0.755
6,30,55,0.711
6,31,55,0.658
7,0,55,0.902
7,1,33,0.651
7,2,55,0.605
