k,head,program,strategy,increase,kl_div,spike
1,"(15, 20)",cls_attention,smart,0.04528852966659684,0.0004974555689841509,False
2,"(15, 16)",cls_attention,smart,-0.05867677873896675,0.0013687117490917445,False
3,"(11, 8)",cls_attention,smart,-0.22903484895801318,0.0017656655516475439,False
4,"(11, 11)",initial_element_reinforcement,smart,-0.38239826190020254,0.002660179533995688,False
5,"(16, 28)",cls_attention,smart,0.11408506073487801,0.0038076306227594614,False
6,"(8, 11)",cls_attention,smart,-0.06108278747731666,0.003942222846671939,False
7,"(11, 3)",initial_element_reinforcement,smart,0.17656395018625726,0.004092610022053122,False
8,"(15, 8)",initial_element_reinforcement,smart,0.14930216004500468,0.005386983975768089,False
9,"(8, 9)",cls_attention,smart,0.1525529702613713,0.005954848974943161,False
10,"(15, 19)",initial_element_reinforcement,smart,-0.07527690665302175,0.005426797922700644,False
11,"(15, 21)",initial_element_reinforcement,smart,0.2968364612221309,0.005484246369451285,False
12,"(14, 13)",initial_element_reinforcement,smart,0.1298773619396514,0.005557297961786389,False
13,"(20, 29)",sentence_beginning_salience,smart,0.5039330056741221,0.006290447339415551,False
14,"(6, 25)",initial_element_reinforcement,smart,0.26883818290541256,0.006360528618097305,False
15,"(18, 21)",sentence_beginning_salience,smart,0.5157062582208919,0.006908464385196567,False
16,"(11, 15)",sentence_beginning_salience,smart,0.7664911530222547,0.00860160542652011,False
17,"(3, 4)",sentence_beginning_salience,smart,0.7517010999195431,0.009461268410086631,False
18,"(3, 0)",sentence_beginning_salience,smart,0.7652900955055885,0.010564238391816616,False
19,"(3, 7)",sentence_beginning_salience,smart,1.2343764060679072,0.01131515922024846,False
20,"(4, 8)",sentence_beginning_salience,smart,1.2752555974807351,0.011505907401442528,False
21,"(18, 30)",sentence_beginning_salience,smart,1.1639998260802593,0.012436917331069709,False
22,"(18, 7)",sentence_beginning_salience,smart,1.440403594536896,0.015424352511763573,False
23,"(20, 16)",sentence_beginning_salience,smart,1.2977013520500509,0.0139887735247612,False
24,"(9, 0)",sentence_beginning_salience,smart,1.5084570395311636,0.014811672270298004,False
25,"(8, 14)",sentence_beginning_salience,smart,1.7842877046251453,0.015645113494247197,False
26,"(18, 5)",sentence_beginning_salience,smart,1.8985338625920818,0.017431818507611753,False
27,"(8, 12)",initial_element_reinforcement,smart,1.786765450380266,0.016148866899311543,False
28,"(19, 8)",sentence_beginning_salience,smart,1.5291695526715192,0.01807479001581669,False
29,"(19, 11)",sentence_beginning_salience,smart,1.2687559414205904,0.018287269212305547,False
30,"(3, 1)",sentence_beginning_salience,smart,1.4019447666032785,0.016862763091921806,False
31,"(20, 8)",sentence_beginning_salience,smart,1.4331612165504926,0.01720807272940874,False
32,"(17, 3)",sentence_beginning_salience,smart,1.5311174747600176,0.01814149469137192,False
33,"(8, 25)",sentence_beginning_salience,smart,1.6464934552322272,0.018891344033181667,False
34,"(15, 10)",sentence_beginning_salience,smart,1.3247868925699284,0.01955367885529995,False
35,"(15, 18)",sentence_beginning_salience,smart,1.628140443517535,0.0201027262955904,False
36,"(17, 2)",sentence_beginning_salience,smart,2.132897450203866,0.021208783611655235,False
37,"(21, 6)",sentence_beginning_salience,smart,2.07694854653113,0.02181790228933096,False
38,"(17, 1)",sentence_beginning_salience,smart,2.02734473526571,0.023399223759770393,False
39,"(17, 0)",sentence_beginning_salience,smart,2.5386353218594033,0.024372001364827155,False
40,"(5, 13)",sentence_beginning_salience,smart,2.756106867997713,0.024046748876571655,False
41,"(8, 27)",sentence_beginning_salience,smart,2.6612203586259717,0.024217564985156058,False
42,"(21, 25)",sentence_beginning_salience,smart,2.5134484032764335,0.024431642144918442,False
43,"(4, 17)",sentence_beginning_salience,smart,2.140010113311552,0.024536913260817528,False
44,"(17, 4)",sentence_beginning_salience,smart,2.220930928123288,0.02396118938922882,False
45,"(19, 9)",sentence_beginning_salience,smart,2.2978153569310447,0.02492024712264538,False
